id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
21,SmartAfrica,https://www.crunchbase.com/organization/smartafrica,"SMART Africa is a bold and innovative commitment from African Heads of State and Government to accelerate sustainable socio-economic development on the continent, ushering Africa into a knowledge economy through affordable access to Broadband and usage of Information and Communications Technologies.","Government, Information Technology","Kigali, Butare, Rwanda",Smart Africa is an alliance of 7 African Heads of State and Government for transforming Africa into a Single Digital Market.,145222,30000000,Active,01/01/2013,,"Government and Military, Information Technology",,,75,1,1500000,1500000,1,1,5,,,,,,,,,,,,,,,,,,,
22,Kayko,https://www.crunchbase.com/organization/kayko,"Kayko is a tool for your small business tasks. Record sales and expenses, handle customer tabs and accept digital payments.","Finance, Financial Services, Software","Kigali, Butare, Rwanda","Kayko is a tool for your small business tasks. Record sales and expenses, handle customer tabs and accept payments digitally.",147909,,Active,15/08/2021,,"Financial Services, Software",2,"Crepin Gontran Kayisire, Kevin Gautier Kayisire",5,2,10000,20000,1,1,10,,,,"1,321",,,14,,1.08,,92.28%,,6014768,,,,,,
23,SchoolNest,https://www.crunchbase.com/organization/schoolnest,SchoolNest is an integrated digital school management system. It is a cutting-edge solution that provides a variety of services designed to automate and improve school efficiency and effectiveness.,"E-Learning, Education, Payments","Mont Kigali, Kigali, Rwanda",SchoolNest is a product which automates school processes and offers flexible learning to students.,150061,,Active,10/01/2020,,"Education, Financial Services, Payments, Software",1,KAREGEYA Jean Marie Vianney,5,2,15000,25000,2,2,10,,,,206,,,0,,1,,100%,,8812342,,,,,,
24,Magofarm,https://www.crunchbase.com/organization/magofarm,"Magofarm is to solve the problem of rising costs of animal feeds and the increasing demand for sustainable, eco-friendly, and nutrient-rich protein ingredients.","AgTech, Farming","Kicukiro, Kigali, Rwanda",MagoFarm is an insect technology startup that focuses on producing organic proteins for animal feeds.,150342,,Active,01/01/2019,,Agriculture and Farming,2,"Benedict Okolie, Moses Katala",5,2,50000,50000,1,2,5,,,,,,,,,,,,,,,,3,1,,
25,ProDev Group Holdings,https://www.crunchbase.com/organization/prodev-group-holdings,"ProDev Group Holdings operates businesses along grain & maize supply chain through Minimex Ltd. and ProDev Rwanda. engages in grain handling which includes milling, drying, pre-cleaning and storage services. Processes of their industry (grain handling) includes milling, drying, pre-cleaning and storage services.  The two subsidiary companies are: One, Minimex Ltd., is the largest manufacturer of branded maize meal in Rwanda, a manufacturer of grits, for the brewing industry, and bran, used in the formulation of animal feed. The other, ProDev Rwanda, is involved in the handling, drying and storage of maize. The partnership with Fanisi will provide the impetus required to continuously improve the maize value chain, which is expected to make a positive contribution to Rwanda's agriculture, the health of the population, and its economic development.","Agriculture, Animal Feed, Farming, Food and Beverage, Manufacturing, Transportation","Kigali, Butare, Rwanda",ProDev Group Holdings operates businesses along grain & maize supply chain through Minimex Ltd. and ProDev Rwanda.,153932,500000,Active,01/01/2003,,"Agriculture and Farming, Food and Beverage, Manufacturing, Transportation",1,Claude Mansell,75,1,3000000,3000000,1,1,6,,,,,,,,,,,,,,,,10,,,
26,IRIBA Water Group,https://www.crunchbase.com/organization/iriba-water-group,,"Sustainability, Water, Water Purification","Kigali, Butare, Rwanda","IRIBA Water Group provides innovative, clean, safe, and sustainable water solutions to institutions, individuals, communities, and homes.",157677,6000000,Active,,,"Natural Resources, Sustainability",,,,1,100000,100000,,1,3,,,,,,,,,,,,,,,,,,,
27,Talkero,https://www.crunchbase.com/organization/talkero,"Talkero is a end-to-end encryption messaging, social media and mobile payment app                                                                developed by Talkero Ltd, a private company registered in                                                                            Kigali, RW, proudly founded by Wood Wedson Pierre.","Apps, Financial Services, Internet, Mobile, Mobile Apps","Kicukiro, Kigali, Rwanda","Talkero is a end-to-end encryption messaging, social media and mobile payment app.",166210,,Active,12/03/2021,,"Apps, Financial Services, Internet Services, Mobile, Software",1,Wood Wedson Pierre,30,1,250000,250000,1,1,14,,,,,,,,,,,,,,,,3,,,
28,Toto Safi,https://www.crunchbase.com/organization/toto-safi,,"Baby, Manufacturing, Sustainability","Kigali, Butare, Rwanda",Toto Safi manufactures sustainable and reusable cloth diapers for babies.,168285,,Active,01/02/2022,,"Community and Lifestyle, Manufacturing, Sustainability",,,5,1,101694,101695,,1,10,,,,,,,,,,,,,,,,5,,,
29,UKC,https://www.crunchbase.com/organization/ukc,"The Government of Rwanda through the District and Sector gave my family a household cow. My dad was asked to establish a kraal and feeding garden to cultivate pasture. He did it. The Fresian cow given for free, gave us milk and dung, making us get milk for home use and surplus for sale. However, we were hit by the summertime and the pasture was depleted due to small plot cultivation we struggled to produce food crops and cow fodder. Our lovely cow started starving, prompting us to rise as early as 4 am and fetch thinny dry shrubs and grass along roadsides and river banks. Our milk production fell from 12 liters a day to 3 liters. The family got stressed with the unstoppable cow mows, rendering the neighborhood complaints about our darling cow noise nuisance due to undernutrition. “Daddy, I will find a way, I am in a country of solutions, not setbacks and regrets. Internet surfing led me to a new technology called Hydroponics Fodder”. Liaising with the external expert made the technology knock at our door, in Rwanda"". The UKC member and vision bearer said.",Agriculture,"Nyarugenge, Kigali, Rwanda",The leading hydroponic hub that instills entrepreneurial values in embracing technology in Rwanda and Africa.,178262,,Active,04/01/2019,,Agriculture and Farming,1,Jackson Karara Sylvester,30,1,100000,100000,1,2,3,,,,,,,,,,,,,,,,,,,
30,MunyaxEco,https://www.crunchbase.com/organization/munyaxeco,MunyaxEco is working in solar energy as well as energy efficiency sectors by selling and installing environmentally friendly and high-quality equipment.,Energy,"Kigali, Butare, Rwanda",MunyaxEco is working in solar energy as well as energy efficiency sectors.,185992,,Active,01/01/2013,,Energy,1,Francine Munyaneza,30,2,100000,100000,2,2,,,,,,,,,,,,,,,,,15,,,
