id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
84,FreshBox Rwanda,https://www.crunchbase.com/organization/freshbox-rwanda,"FreshBox Rwanda is provides Portable, off-grid cold chain solutions to reduce post-harvest food loss, extending the shelf life of vegetables and fruits by up to 21 days.","Food and Beverage, Supply Chain Management","Kigali, Butare, Rwanda","FreshBox Rwanda is provides Portable, off-grid cold chain solutions to reduce post-harvest food loss extending the shelf life of vegetables.",644351,,Active,01/01/2018,,"Food and Beverage, Transportation",1,Abhinav Gautam,5,1,,,,2,,,,,,,,,,,,,,,,,10,,,
85,FarmPal,https://www.crunchbase.com/organization/farmpal,,"Agriculture, AgTech, Farming","Kigali, Butare, Rwanda",FarmPal is a digital agriculture platform linking farmers and investors.,650094,,Closed,01/01/2018,,Agriculture and Farming,1,Materne Mateso,5,1,,,,1,,,,,,,,,,,,,,,,,4,,,
86,MTN Rwanda,https://www.crunchbase.com/organization/mtn-rwanda,,Software,"Kigali, Butare, Rwanda",Evaluate the capacity of the sales force and recommend structure optimization options.,655077,,Active,01/01/1998,12,Software,,,750,,,,,,,"Finance, Information Technology, Marketing, Operations, Sales",31,,"168,336","109,244.17",199.19%,186,-74.97%,1.42,-4.10%,84.36%,35.06%,277261,-351160,-55.88%,22,,,
87,CentWise,https://www.crunchbase.com/organization/centwise,"CentWise enables micro businesses to purchase inventory on credit and pay back after they have made sales. These traders struggle to access funding, and CentWise has established itself as a reliable partner in bridging their funding gap.","Credit, Finance, Financial Services","Kigali, Butare, Rwanda",CentWise enables micro businesses to purchase inventory on credit and pay back after they have made sales.,658702,,Active,,,"Financial Services, Lending and Investments",,,5,,,,,,3,,,,,,,,,,,,,,,,,,,
88,KudiBooks,https://www.crunchbase.com/organization/kudibooks,KudiBooks is a cloud-based accounting platform and payment solution. This platform allows users to create financial plans to track and monitor their progress. It also stores data safely on cloud for users to retrieve at any given time. KudiBooks was founded in 2021.,"Accounting, Cloud Data Services, FinTech, Payments","Kigali, Butare, Rwanda",KudiBooks is a cloud-based accounting platform and payment solution.,662227,,Active,01/01/2021,,"Financial Services, Information Technology, Internet Services, Payments, Professional Services",1,Mariam Muganga,5,,,,,,5,,,,56,,,139,,5,,0%,,9395010,,,17,,,
89,FabLab Rwanda,https://www.crunchbase.com/organization/fablab-rwanda,"FabLab Rwanda is a space for members to turn innovative ideas into products specifically in the hardware and electronics domain. FabLab Rwanda is a space for members to turn innovative ideas into products specifically in the hardware and electronics domain. The space provides a platform for capacity building and integration of hardware skills with software knowledge and quickly bringing Rwandan innovators closer to the Internet of Things era. FabLab Rwanda was established in May 2016, by ICT Chamber in partnership with Rwanda Development Board (RDB), Japan International Cooperation Agency (JICA), Ministry of Education, SolidWorks Corporation MIT-CBA, and Gasabo3D who followed through taking lessons learnt from efforts of supporting Software Innovators (at KLAB) to execute on His Excellency’s recommendation to put in place a Fabrication Laboratory (FABLAB) to support Hardware Innovators in Rwanda.","Collaboration, Coworking, Internet of Things, Software","Kigali, Butare, Rwanda", FabLab Rwanda is a space for members to turn innovative ideas into products specifically in the hardware and electronics domain.,673309,,Active,,,"Internet Services, Other, Real Estate, Software",1,Claudette Irere,,,,,,,1,,,,,,,,,,,,,,,,16,,,
90,Zigama CsS,https://www.crunchbase.com/organization/zigama-css,,"Banking, Finance, Financial Services, Lending","Kigali, Butare, Rwanda","Zigama CsS is a financial firm that provides loan products, business loans, secure savings, and trade finance.",675306,10000000000,Active,01/01/1997,,"Financial Services, Lending and Investments",,,,,,,,,10,,,,42,,-99.83%,57,,2,100%,66.67%,-33.33%,9440638,8287017,718.35%,,,,
91,M-funding,https://www.crunchbase.com/organization/m-funding,,"Angel Investment, Consulting, Crowdfunding, Finance, Financial Services, Funding Platform","Kigali, Butare, Rwanda",M-funding is a crowdfunding firm that primarily focuses on offering financing solutions to help entrepreneurs to access finance.,681661,500000,Active,01/01/2017,,"Financial Services, Lending and Investments, Professional Services",,,5,,,,,,8,,,,,,,,,,,,,,,,17,,,
92,TextIt,https://www.crunchbase.com/organization/textit,"At the core of TextIt lies our exclusive Flow engine. With Flows, anybody can set up or modify a complex SMS application without the need of a programmer or expensive consulting company. Using a basic Android phone, you can launch your application instantly in any country while avoiding expensive set-up costs or external technical support.","Apps, Consulting, Information Technology, Messaging, Mobile Apps","Kigali, Butare, Rwanda",Visually build interactive SMS applications anywhere in the world.,700713,500000,Active,01/01/2013,,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Professional Services, Software",,,5,,,,,,4,,,,,,,,,,,,,,,,21,,,23
93,Rwanda Biosolution,https://www.crunchbase.com/organization/rwanda-biosolution,,"Agriculture, Chemical, Organic","Butare, Butare, Rwanda",Rwanda Biosolution produces organic fertilizers from grass and domestic wastes.,708504,,Active,,,"Agriculture and Farming, Science and Engineering, Sustainability",,,,1,,,1,1,3,,,,,,,,,,,,,,,,1,,,
94,CAL Rwanda,https://www.crunchbase.com/organization/cal-rwanda,,"Credit, Debt Collections, Financial Services","Kigali, Butare, Rwanda","CAL Rwanda provides an array of loans, credit, debt collections, budgeting advice, asset management, consulting, and financial servcies.",723276,,Active,01/01/2010,,"Administrative Services, Financial Services, Lending and Investments",1,Callixte Mfitamahoro,375,,,,,,4,,,,,,,,,,,,,,,,10,,,
95,Kiza Solutions,https://www.crunchbase.com/organization/kiza-solutions,"Kiza Solutions is a social-impact technology consulting firm with industry-leading systems architects.They are on a mission to deliver information wellness – data that is clean, centralized, accessible, meaningful, and secure – because they believe that organizations the world over deserve excellent systems. They have seen too many great teams hindered by the tools that should be serving them. They have seen spreadsheets stretched beyond their breaking point. They have seen over-engineered, over-priced enterprise solutions collecting dust. Yet they have also seen how implementing smart data solutions can translate into immediate and lasting results. And they love exploring, creating, and serving. They believe that they each have a role to play in bringing wellness to the world, and they offer their clients the unique opportunity to participate in Rwanda’s inspiring story. They provide comprehensive professional training and career opportunities to talented technology developers in Rwanda. They proudly provide fair wages and holistic benefits to their staff that will impact their families and communities for generations. ","Consulting, Information Technology, Legal","Kigali, Butare, Rwanda",Kiza Solutions is a social-impact technology consulting firm with industry-leading systems architects.,762872,,Active,,,"Information Technology, Professional Services",,,,,,,,,4,"Management, Operations",3,,"1,362",,,0,,1,,100%,,5951988,,,24,,,
96,Pivot Works,https://www.crunchbase.com/organization/pivot-works,"Pivot Works is a city-scale treatment solution that converts human waste into renewable fuel. By creating fuel from waste and selling to industrial customers like cement companies, Pivot Works shifts the cost burden of sanitation away from poor urban citizens. Pivot Works was founded by Ashley Muspratt and is based in Kigali, Rwanda.","Human Resources, Renewable Energy","Kigali, Butare, Rwanda",Pivot Works is a city-scale treatment solution that converts human waste into renewable fuel.,770787,6000000,Closed,01/01/2012,,"Administrative Services, Energy, Sustainability",1,Ashley Muspratt,5,2,,,1,1,,,,,,,,,,,,,,,,,20,,,11
97,Development Bank of Rwanda,https://www.crunchbase.com/organization/rwanda-development-bank,,"Agriculture, Business Development, Financial Services, Social, Trading Platform","Kigali, Butare, Rwanda","Development Bank of Rwanda is a trade & development industry that provides financial services to agriculture, education, housing & exports.",780807,30000000,Active,05/08/1967,,"Agriculture and Farming, Community and Lifestyle, Financial Services, Lending and Investments, Professional Services",,,175,,,,,,6,,,,"1,012","2,152.50",-74.82%,899,69.30%,3.25,90.41%,47.86%,-16.33%,6421501,2983854,86.80%,52,,,
98,Rwanda Events,https://www.crunchbase.com/organization/rwanda-events,,"Consulting, Event Management, Events","Mont Kigali, Kigali, Rwanda",Rwanda Events is a value-driven business company that specializes in event production and management.,786785,,Active,01/01/2009,,"Events, Media and Entertainment, Professional Services",,,30,,,,,,5,"Information Technology, Sales",2,,28,"2,513",-99.35%,337,,3,200%,0%,49.99%,9490564,6238137,191.80%,36,,,
99,Hepta Analytics,https://www.crunchbase.com/organization/hepta-analytics,,Analytics,"Kigali, Butare, Rwanda","Data analytics startup firm in Kigali, Rwanda",832497,,Active,01/01/2017,,Data and Analytics,,,5,1,,,1,1,,"Engineering, Operations",3,,"3,864",,,0,,1,,100%,,3386433,,,10,,,
100,Ayambe,https://www.crunchbase.com/organization/ayambe,Ayambe is a talent matching platform that connects skilled workforce in the informal sector to people in need of their skills.,"Information Services, Information Technology","Kigali, Butare, Rwanda",Ayambe is a talent matching platform that connects skilled workforce in the informal sector to people in need of their skills.,853422,,Active,01/01/2020,,Information Technology,,,5,1,,,1,1,,,,,,,,,,,,,,,,,2,,,
101,AB Bank Rwanda,https://www.crunchbase.com/organization/ab-bank-rwanda,,"Banking, Credit, Financial Services, Insurance","Kigali, Butare, Rwanda","AB Bank Rwanda is a financial institution that provides bancassurance, digital banking, accountancy, loans, and banking services.",871521,30000000,Active,01/01/2014,,"Financial Services, Lending and Investments",,,375,,,,,,12,,,,,,,,,,,,,,,,44,,,
102,KT Rwanda Networks,https://www.crunchbase.com/organization/kt-rwanda-networks,,"Communications Infrastructure, Information and Communications Technology (ICT), Telecommunications","Kigali, Butare, Rwanda",KT Rwanda Networks provides 4G LTE telecommunication services.,884548,,Active,01/01/2013,,"Hardware, Information Technology",,,,,,,,,10,,,,"1,212",,,0,,1,,100%,,6172646,,,,,,
103,KHENZ LTD,https://www.crunchbase.com/organization/khenz-ltd,,Internet,"Kigali, Butare, Rwanda",KHENZ LTD-Digital Ticketing Platform for long distance Bus Operators,905192,,Active,30/01/2013,,Internet Services,,,30,1,,,,1,,Operations,1,,,,,,,,,,,,,,11,,,
104,Habona,https://www.crunchbase.com/organization/habona,"Habona is a company registered in the Republic of Rwanda that is dedicated to providing various products of cost-effective, renewable energy sources that are extremely beneficial in the face of Rwanda’s severe energy crisis. The company’s offerings include biogas for household cooking and lighting, biomass briquettes, and bio-fertilizer for farmers. Habona also provides consultancy and maintenance services regarding integrated waste management and energy solutions, and continued research and development of environmentally friendly solutions. The targeted project deliverables include at least 50 tons of briquettes every month, and 100 tons of fertilizer in every quarter. Habona also targets to offer professional cleaning and waste treatment services, whereby one waste collection point in Nyamagabe town is now being formatted for separation of waste at source, and we launched a campaign for installing household biogas while research and piloting of institutional digesters is underway.","Consulting, Energy, Sustainability, Waste Management","Kicukiro, Kigali, Rwanda","Habona provides affordable environmentally friendly fuels in the form of biogas, briquettes, and organic fertilizers from waste.",916109,,Active,01/01/2014,,"Energy, Professional Services, Sustainability",1,Jean Bosco Nzeyimana,5,1,,,,1,4,,,,"4,110",,,49,,1.17,,83.33%,,3297135,,,14,,,
105,Access to Finance Rwanda,https://www.crunchbase.com/organization/access-to-finance-rwanda,,"Financial Services, FinTech, Insurance, Lending","Kigali, Butare, Rwanda","Access to Finance Rwanda is a non-governmental organization that provides digital financial solutions, savings, and insurance services.",923324,30000000,Active,01/01/2010,,Financial Services,,,30,,,,,,6,,,,"2,861",,4749.15%,65,-88.05%,2.95,104.98%,3.57%,-95.42%,4071203,-5393684,-56.99%,,,,
106,Maico Money Transfer,https://www.crunchbase.com/organization/maico-money-transfer,"Maico Money Transfer sends money worldwide. Their business is committed to providing financial services like forex bureau services and money transfers. They provide their clients with solutions by adopting a practical approach, being committed to offering customer service, and working on producing results that are economical. They are non-bank providers of foreign exchange and international payments.","Financial Exchanges, Financial Services, Payments, Transaction Processing","Kigali, Butare, Rwanda",Maico Money Transfer is a remittance company offering money remittance and forex bureau services.,923547,6000000,Active,15/12/2017,,"Financial Services, Lending and Investments, Payments, Software",,,30,,,,,,6,,,,,,,,,,,,,,,,,,,
107,Kosmotive,https://www.crunchbase.com/organization/kosmotive,Kosmotive is engaged in maternal and child health services in Rwanda.,"Child Care, Health Care, Women's","Nyarugenge, Kigali, Rwanda",Kosmotive is engaged in maternal and child health services in Rwanda.,936429,,Active,09/01/2014,1,"Community and Lifestyle, Health Care",1,Blandine Umuziranenge,5,2,,,1,2,2,,,,,,,,,,,,,,,,44,,,
108,Olado,https://www.crunchbase.com/organization/olado,,"E-Commerce, Retail","Kigali, Butare, Rwanda",Olado is an e-commerce company in Rwanda that provides an online marketplace for buyers and sellers.,948287,,Active,01/10/2017,,Commerce and Shopping,,,5,1,,,,1,3,Marketing,1,,252,,,161,,3.17,,50%,,8599805,,,17,,,
109,EWAWE,https://www.crunchbase.com/organization/ewawe,,"Internet, Real Estate","Kigali, Butare, Rwanda",EWAWE connects home seekers with banks to facilitate home mortgage applications and follow up.   ,965711,,Active,06/06/2017,,"Internet Services, Real Estate",,,5,,,,,,,,,,,,,,,,,,,,,,17,,,
110,eJobu,https://www.crunchbase.com/organization/ejobu,"eJobu is an online web/mobile platform which connects Freelancers, consultants, Experts, and handymans to clients who need their professional services. we are revolutionizing the informal work sector in Africa with our ease to use platform.","Freelance, Marketplace, Outsourcing","Kicukiro, Kigali, Rwanda",we're an online marketplace for professional services.,974847,,Active,16/10/2017,,"Commerce and Shopping, Professional Services",1,Tuyizere SAMUEL,5,,,,,,7,,,,,,,,,,,,,,,,3,,,
111,quip.link,https://www.crunchbase.com/organization/kodi-f9b8,"quip.link is the online marketplace for heavy equipment in emerging markets. Sourcing equipment and parts in emerging markets is inefficient and costly. Transactions are undermined by asymmetric information, price gouging, and poor service. quip.link is a web-platform and mobile application for buying, selling, and renting heavy equipment serving the construction, mining and mechanized agriculture industries.","Construction, E-Commerce, Logistics, Marketplace","Kigali, Butare, Rwanda",The online marketplace for construction equipment,979896,,Active,01/01/2018,1,"Commerce and Shopping, Real Estate, Transportation",2,"Casey Slaught, Michael Hutson",5,1,,,,,12,,,,237,273,8.72%,0,,1,0%,100%,0%,11047789,-442432,-3.85%,1,,,
112,Starlight,https://www.crunchbase.com/organization/starlight-aea5,"Starlight offers fun STEM educational items. It to prepare kids for the demands of the labour market of the future, STEM education is essential. Toys, technology, and experiences are produced for a new generation of international learners.","Clean Energy, Renewable Energy, STEM Education","Kigali, Butare, Rwanda",Starlight is an Ed-Tech company that makes fun educational STEM products.,990872,6000000,Active,01/01/2016,,"Education, Energy, Science and Engineering, Sustainability",,,5,1,,,,1,10,,,,"1,458",,,0,,1,,100%,,3376121,,,19,,,
113,Inter Connect Point,https://www.crunchbase.com/organization/inter-connect-point,,Analytics,"Kigali, Butare, Rwanda","Using sensors, analytics, and IoT in tea factories in East Africa to help craft the perfect cup of tea",995929,,Active,01/01/2015,,Data and Analytics,,,5,1,,,1,1,,,,,,,,,,,,,,,,,6,,,
114,Africa Improved Foods,https://www.crunchbase.com/organization/africa-improved-foods,"Africa Improved Foods provides a scalable and sustainable solution to malnutrition via local production of nutritious foods. It has already invested in technology and operations. Embedded in its business model is a comprehensive strategy to reduce poverty, create jobs, and address stunting and malnutrition. AIF implements a value chain approach to develop local maize and soy farming to a much higher standard.","Food Processing, Manufacturing, Nutrition","Kigali, Butare, Rwanda",Africa Improved Foods manufactures nutritious foods and provides solution for malnutrition.,1017062,75000000,Active,01/01/2016,,"Food and Beverage, Health Care, Manufacturing",,,375,,,,,,3,,,,61,,-89.95%,0,,1,-50%,100%,,9367338,1851108,24.63%,7,,,
115,Pascal Technology,https://www.crunchbase.com/organization/pascal-technology,,"Fuel, Information Technology, Software","Kigali, Butare, Rwanda","Pascal Technology specializes in petrol station automation systems, vehicle speed governors and enterprise architecture consulting.",1032522,6000000,Active,01/01/2013,,"Energy, Information Technology, Software",1,Pascal Ndizeye,30,,,,,,2,,,,,,,,,,,,,,,,38,,,
116,Awesomity Lab,https://www.crunchbase.com/organization/awesomity-lab,,"Information Technology, Mobile Apps, Software, UX Design","Kigali, Butare, Rwanda","Awesomity Lab is a computer software company that provides UI/UX, mobile apps, and custom software solutions.",1056136,,Active,01/01/2016,,"Apps, Design, Information Technology, Mobile, Software",,,30,,,,,,5,,,,28,,-90.41%,67,-66.67%,2,-53.72%,0%,,9492741,922117,10.76%,58,,,
117,Kigali International Financial Center,https://www.crunchbase.com/organization/kigali-international-financial-center,,"Consulting, Financial Services, Small and Medium Businesses","Kigali, Butare, Rwanda",Kigali International Financial Center is a company promoting and developing Rwanda as a financial destination for international investment.,1063619,,Active,01/01/2018,,"Financial Services, Other, Professional Services",,,30,,,,,,5,,,,504,238.33,229.41%,205,336.17%,3.72,62.16%,9.33%,-88.10%,7630194,-1518052,-16.59%,,,,
118,afringa,https://www.crunchbase.com/organization/afringa,"a Software as a Service online HR platform, specifically designed to cater for the unique requirements of businesses dealing with talent attraction, recruitment, and management across informal employment markets on the African continent","College Recruiting, Education, Emerging Markets, Employment, Human Resources, Professional Networking, Recruiting, Social Entrepreneurship, Social Recruiting, Software","Kigali, Butare, Rwanda","SaaS solution, simplifying recruiting in informal employment markets through ""Cover Videos"" instead of ""Cover Letters""",1071331,,Active,01/01/2018,5,"Administrative Services, Community and Lifestyle, Education, Other, Professional Services, Software",2,"Patrick Wickenhäuser, Victor Thien",5,,,,,,3,,,,,,,,,,,,,,,,28,,,
119,Nyaruka,https://www.crunchbase.com/organization/nyaruka,,"Information Technology, Mobile Apps, Software","Kigali, Butare, Rwanda","Nyaruka is a software company with expertise in mobile solutions, create data collection systems and build interactive SMS applications.",1073675,6000000,Active,01/01/2010,,"Apps, Information Technology, Mobile, Software",,,5,,,,,,3,,,,,,,,,,,,,,,,64,,,14
120,Banque Commerciale du Rwanda,https://www.crunchbase.com/organization/banque-commerciale-du-rwanda,"Established in 1963 and headquartered in Kigali, Banque Commerciale du Rwanda (‘BCR’) was Rwanda’s second largest commercial bank with a market share of around 25% and an extensive branch network serving both commercial and retail customers.","Banking, Finance, Financial Services","Kigali, Butare, Rwanda",BCR is a commercial bank serving both commercial and retail customers in Rwanda.,1077520,,Closed,01/01/1963,1,"Financial Services, Lending and Investments",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
121,MindSky,https://www.crunchbase.com/organization/mindsky,"MindSky is an online platform connecting current university students and graduates with employment opportunities. Employers post their internships and job opportunities on the MindSky job board. MindSky members apply for openings directly on the platform using their professionally-formatted online profile builder as their application document. Hiring managers log in, view, and sort applications as they come in. They currently work exclusively with Akilah Institute, a tertiary institute in Kigali that graduates many of Rwanda’s most talented and high-achieving young women.","Human Resources, Recruiting","Kigali, Butare, Rwanda",MindSky is an online platform connecting current university students and graduates with employment opportunities.,1090135,,Closed,01/01/2015,,"Administrative Services, Professional Services",2,"Anastasia Uglova, Elizabeth Dearborn Hughes",30,,,,,,3,,,,,,,,,,,,,,,,13,,,16
122,Next Einstein Forum,https://www.crunchbase.com/organization/next-einstein-forum,"Next Einstein Forum (NEF) is an initiative of the African Institute for Mathematical Sciences (AIMS) in partnership with Robert Bosch Stiftung. The NEF is a platform that connects science, society and policy in Africa and the rest of the world – with the goal to leverage science for human development globally. The NEF believes that Africa’s contributions to the global scientific community are critical for global progress. At the centre of NEF efforts are Africa’s young people, the driving force for Africa’s scientific renaissance.",Event Management,"Kigali, Butare, Rwanda",Next Einstein Forum is a new global forum for science in Africa that will propel Africa onto the global scientific stage.,1111415,,Active,01/01/2013,2,"Events, Media and Entertainment",1,Thierry Zomahoun,5,,,,,,,,1,,"2,254","1,818",1061.86%,0,33.82%,1,0%,100%,0%,4487297,-4501477,-50.08%,51,,,
123,One World Coders,https://www.crunchbase.com/organization/one-world-coders,"One World Coders is a software consultancy with developers. It develops products across geographic and cultural borders, because it's not just about the ability to code, but also about the ability to communicate and work across cultures. The services include software factory, remote team augmentation, cross-cultural training.","Software, Technical Support, Web Development","Kigali, Butare, Rwanda",One World Coders is a developer consulting firm that develops software.,1116330,500000,Active,01/01/2019,,"Information Technology, Other, Software",1,Doug Bradbury,30,,,,,,3,Management,1,,"4,077","4,459.67",-1.12%,0,0%,1,0%,100%,0%,3307884,-83144,-2.45%,16,,,11
124,KivuWatt,https://www.crunchbase.com/organization/kivuwatt,KivuWatt is a gas and water extraction project that aims to extract methane gas and use it as fuel for electricity generation in a power plant.,"Industrial, Infrastructure, Oil and Gas","Kigali, Butare, Rwanda",KivuWatt is a gas and water extraction project that aims to extract methane gas.,1123993,,Active,01/01/2005,,"Energy, Manufacturing, Natural Resources, Other",,,3000,1,11172765,11172765,,1,,,,,,,,,,,,,,,,,,,,
125,Pickap,https://www.crunchbase.com/organization/pickap,We are building an on-demand logistics platform to facilitate the new free movement of goods across Africa.,"E-Commerce, Information Technology, Software","Kigali, Butare, Rwanda",Mobility,1141039,,Active,02/10/2019,,"Commerce and Shopping, Information Technology, Software",1,Amon Munyaneza,5,,,,,,7,,,,,,,,,,,,,,,,9,,,
126,Data Systems,https://www.crunchbase.com/organization/data-systems-ltd,"Data Systems Ltd. is an outsourcing and software development company that offers custom software development services on diverse technology platforms, like Microsoft, Java, PHP, Open Source,and Mobile.","EdTech, Outsourcing, Software","Kigali, Butare, Rwanda",Data Systems Ltd. is an outsourcing and software development company.,1148613,6000000,Active,01/01/2022,,"Education, Professional Services, Software",,,,1,,,1,1,3,,,,,,,,,,,,,,,,18,,,
127,Forestry and Agricultural Investment Management (FAIM Rwanda),https://www.crunchbase.com/organization/forestry-and-agricultural-investment-management-faim-rwanda,"Forestry and Agricultural Investment Management USA, LLC (FAIM) will establish a state-of-the-art plant propagation nursery and tissue lab in Rwanda (FAIM AFRICA) based on significant know-how in tissue culture and mass plant production techniques. There is considerable pent-up demand for more productive plants and seeds from government agencies, food processors and farmers.",Agriculture,"Kigali, Butare, Rwanda",FAIM works to reduce poverty in farming communities through producing virus free plants for food security.,1152699,6000000,Active,01/01/2011,,Agriculture and Farming,,,30,,,,,,3,,,,,,,,,,,,,,,,3,,,
128,ADS Group,https://www.crunchbase.com/organization/ads-group,,"Consulting, Franchise, Logistics, Real Estate","Kigali, Butare, Rwanda","ADS Group is an integrated platform that specializes in task management, design, and execution solutions for a diverse range of industries.",1167399,,Active,01/01/2005,,"Other, Professional Services, Real Estate, Transportation",1,Samba Bathily,750,,,,,,3,,,,"1,251",,-17.15%,0,92%,1,0%,100%,0%,6117482,250787,4.27%,,,,
129,NjordFrey,https://www.crunchbase.com/organization/njordfrey,"NjordFrey provides aquaponic starter kits, seasonal input product lines (seeds and fingerlings), and operational training to developing farmers, allowing them to become independent. It also provides stakeholder mapping and tailored routes to market for farmers we work with. Therefore, both the technology and commercial model is innovative and new to farmers.","Agriculture, Farming, Mapping Services","Kigali, Butare, Rwanda","NjordFrey provides aquaponic starter kits, seasonal input product lines, and operational training to developing farmers.",1178106,,Active,01/01/2016,,"Agriculture and Farming, Navigation and Mapping",,,5,1,,,1,1,3,,,,,,,,,,,,,,,,6,,,
130,Groupeya,https://www.crunchbase.com/organization/groupeya,,Financial Services,"Kigali, Butare, Rwanda","Groupeya helps small and micro businesses increase their income by optimizing their buying, selling, and financing options.",1179897,,Active,19/09/2021,,Financial Services,1,Amon Munyaneza,5,1,,,,,,,,,,,,,,,,,,,,,1,,,
131,MeshPower Rwanda,https://www.crunchbase.com/organization/meshpower-rwanda,,"Power Grid, Solar","Kicukiro, Kigali, Rwanda",MeshPower Rwanda is a company provides solar powered nanogrids and smart metering systems.,1180165,,Active,,,"Energy, Natural Resources, Sustainability",,,75,1,,,1,1,,"Management, Operations",2,,,,,,,,,,,,,,28,,,
132,Charis Unmanned Aerial Solutions,https://www.crunchbase.com/organization/charis-unmanned-aerial-solutions,"CHARISUAS is the first ever unmanned Aerial vehicles leading company in Rwanda. We provide diversified services in UAV industries. These include UAS consulting, UAV building and system integration, pilot and safety training, maintenance of UAVs and much more. Our reputation and professionalism has helped to obtain hard to get exclusive permits to fly in restricted areas.",Transportation,"Kigali, Butare, Rwanda",CHARISUAS is the first ever unmanned Aerial vehicles leading company in Rwanda.,1199728,,Active,01/01/2014,,Transportation,2,"Eric Rutayisire Muziga, Ingabire Muziga Mamy",30,1,,,1,1,,,,,47,,-94.94%,361,,1.6,59.57%,70.21%,-29.79%,9422636,2787193,42%,49,,,
133,Uplus,https://www.crunchbase.com/organization/uplus,,"Financial Services, Software","Kigali, Butare, Rwanda","Uplus is a digital contributions platform that allows people to contribute to social matters, save in groups and invest.",1203028,,Active,01/01/2017,3,"Financial Services, Software",,,5,1,,,,1,,,,,61,,,0,,1,,100%,,9373639,,,8,,,
134,IsokoNow,https://www.crunchbase.com/organization/isokonow,"IsokoNow is a Rwandan free classified advertising website that provides a platform for buyers and sellers to interact. Users can view and post ads in various categories, including Electronics, Cars and Bikes, Education, Jobs, Real Estate, Mobile &Tablets, Services, Entertainment, Home and Lifestyle, Community, Pets and Matrimonial. Why IsokoNow? IsokoNow goes a step forward in ensuring authenticity. Users are required to register an account on IsokoNow, which is then verified by our team. Once your account is approved, you can browse the various categories of ads and post ads of your own. Each ad also goes through a verification process before it goes live on our website. Our aim is to provide a risk-free platform for buyers and sellers to interact safely and securely. At IsokoNow, you will find ads of just about anything you can think of. So leaf through the various categories and browse thousands of items for sale. Post ads of your own and sell anything from old appliances to cell phones, clothing and everything in between.","Advertising, Advertising Platforms, Classifieds, E-Commerce, Local Advertising, Trading Platform","Kicukiro, Kigali, Rwanda",IsokoNow is a Rwandan free classified advertising website that provides a platform for buyers and sellers to interact. ,1213318,,Active,27/10/2017,,"Advertising, Commerce and Shopping, Financial Services, Lending and Investments, Sales and Marketing",1,Habimana Eddy,5,,,,,,12,,,,,,,,,,,,,,,,5,,,
135,Adfinance,https://www.crunchbase.com/organization/adfinance-2c8e,,"Financial Services, Software","Mont Kigali, Kigali, Rwanda","ADFinance is an integrated information system that specializes in customer & loans management, savings and accounting core module services.",1222389,,Active,01/01/2007,,"Financial Services, Software",,,30,,,,,,3,Operations,1,,28,,,0,,1,,100%,,9493920,,,23,,,
136,Gahaya Links,https://www.crunchbase.com/organization/gahaya-links,"Gahaya Links began as an opportunity for basic income generation and skills training for women has grown to produce positive multiplier effects in the lives of their children, their families, and their communities. Using handicrafts as a vehicle for positive change, Gahaya Links provides training in basket weaving, jewelry making, and tailoring to lift women out of poverty and create sustainable income-generating opportunities.","Jewelry, Made to Order, Women's","Kicukiro, Kigali, Rwanda",Gahaya Links is a handicraft export company.,1222770,,Active,01/01/1995,,"Commerce and Shopping, Community and Lifestyle, Consumer Goods",2,"Janet Nkubana, Joy Ndungutse",7500,,,,,,5,,,,,,,,,,,,,,,,,,,
137,Inkunga Finance,https://www.crunchbase.com/organization/inkunga-finance,,"Credit, Finance, Financial Services","Kigali, Butare, Rwanda","Inkunga Finance is a financial institution that offers account opening, funds deposit, funds withdrawal, and credit services.",1282706,30000000,Active,15/09/1995,,"Financial Services, Lending and Investments",,,75,,,,,,10,,,,,,,,,,,,,,,,5,,,
138,Bralirwa,https://www.crunchbase.com/organization/bralirwa,,"Food and Beverage, Food Processing","Kigali, Butare, Rwanda",Bralirwa engages in the production and distribution of alcoholic and non-alcoholic beverages.,1299716,,Active,01/01/1957,,Food and Beverage,,,75,,,,,,10,,,,,,,,,,,,,,,,,,,
